Ativo;Tipo;Data;Valor
Tesouro IPCA+;atualizacao;2023-02-01;1003.57
Tesouro IPCA+;compra;2023-02-01;552.04
Tesouro IPCA+;atualizacao;2023-03-01;1562.77
Tesouro IPCA+;atualizacao;2023-04-01;1567.49
Tesouro IPCA+;compra;2023-04-01;1481.62
Tesouro IPCA+;atualizacao;2023-05-01;3055.35
Tesouro IPCA+;atualizacao;2023-06-01;3069.67
Tesouro IPCA+;atualizacao;2023-07-01;3077.18
Tesouro IPCA+;compra;2023-07-01;702.88
Tesouro IPCA+;atualizacao;2023-08-01;3794.95
Tesouro IPCA+;compra;2023-08-01;779.61
Tesouro IPCA+;atualizacao;2023-09-01;4587.91
Tesouro IPCA+;compra;2023-09-01;640.54
Tesouro IPCA+;atualizacao;2023-10-01;5241.26
Tesouro IPCA+;atualizacao;2023-11-01;5259.49
Tesouro IPCA+;venda;2023-11-01;1162.31
Tesouro IPCA+;atualizacao;2023-12-01;4116.77
Tesouro IPCA+;venda;2023-12-01;747.54
Tesouro IPCA+;atualizacao;2024-01-01;3377.26
Tesouro IPCA+;compra;2024-01-01;1376.69
Tesouro IPCA+;atualizacao;2024-02-01;4766.27
Tesouro IPCA+;atualizacao;2024-03-01;4786.52
Tesouro IPCA+;compra;2024-03-01;1287.82
Tesouro IPCA+;atualizacao;2024-04-01;6094.12
Tesouro IPCA+;atualizacao;2024-05-01;6106.9
Tesouro IPCA+;atualizacao;2024-06-01;6127.26
Tesouro IPCA+;compra;2024-06-01;945.43
Tesouro IPCA+;atualizacao;2024-07-01;7095.89
Tesouro IPCA+;atualizacao;2024-08-01;7112.0
Tesouro IPCA+;venda;2024-08-01;1124.02
Tesouro IPCA+;atualizacao;2024-09-01;6011.74
Tesouro IPCA+;atualizacao;2024-10-01;6037.48
Tesouro IPCA+;atualizacao;2024-11-01;6065.25
Tesouro IPCA+;atualizacao;2024-12-01;6082.31
Tesouro IPCA+;atualizacao;2025-01-01;6103.43
Tesouro IPCA+;atualizacao;2025-02-01;6124.44
