Ativo;Tipo;Data;Valor
Ações Petrobras;atualizacao;2023-02-01;5155.72
Ações Petrobras;atualizacao;2023-03-01;4925.31
Ações Petrobras;compra;2023-03-01;6474.42
Ações Petrobras;atualizacao;2023-04-01;11567.18
Ações Petrobras;compra;2023-04-01;5832.34
Ações Petrobras;venda;2023-04-01;4664.2
Ações Petrobras;atualizacao;2023-05-01;12463.25
Ações Petrobras;atualizacao;2023-06-01;12820.55
Ações Petrobras;venda;2023-06-01;4750.98
Ações Petrobras;atualizacao;2023-07-01;8100.35
Ações Petrobras;atualizacao;2023-08-01;8121.83
Ações Petrobras;atualizacao;2023-09-01;7893.78
Ações Petrobras;compra;2023-09-01;3703.8
Ações Petrobras;atualizacao;2023-10-01;12265.71
Ações Petrobras;atualizacao;2023-11-01;13080.79
Ações Petrobras;compra;2023-11-01;4217.59
Ações Petrobras;venda;2023-11-01;4629.58
Ações Petrobras;atualizacao;2023-12-01;13198.43
Ações Petrobras;compra;2023-12-01;7096.63
Ações Petrobras;atualizacao;2024-01-01;19498.1
Ações Petrobras;atualizacao;2024-02-01;18705.0
Ações Petrobras;venda;2024-02-01;3910.67
Ações Petrobras;atualizacao;2024-03-01;15119.01
Ações Petrobras;atualizacao;2024-04-01;14975.39
Ações Petrobras;atualizacao;2024-05-01;15065.05
Ações Petrobras;compra;2024-05-01;2872.52
Ações Petrobras;atualizacao;2024-06-01;18880.17
Ações Petrobras;atualizacao;2024-07-01;20060.21
Ações Petrobras;atualizacao;2024-08-01;20952.14
Ações Petrobras;atualizacao;2024-09-01;21826.38
Ações Petrobras;atualizacao;2024-10-01;21502.22
Ações Petrobras;atualizacao;2024-11-01;20865.61
Ações Petrobras;atualizacao;2024-12-01;21823.23
Ações Petrobras;atualizacao;2025-01-01;22525.03
Ações Petrobras;atualizacao;2025-02-01;23206.84
Ações Petrobras;compra;2025-02-01;3084.29
