Ativo;Tipo;Data;Valor
Tesouro IPCA+;atualizacao;2023-02-01;1003.57
Tesouro IPCA+;compra;2023-02-01;552.04
Tesouro IPCA+;atualizacao;2023-03-01;1562.77
Tesouro IPCA+;atualizacao;2023-04-01;1567.49
Tesouro IPCA+;compra;2023-04-01;1481.62
Tesouro IPCA+;atualizacao;2023-05-01;3055.35
Tesouro IPCA+;atualizacao;2023-06-01;3069.67
Tesouro IPCA+;atualizacao;2023-07-01;3077.18
Tesouro IPCA+;compra;2023-07-01;702.88
Tesouro IPCA+;atualizacao;2023-08-01;3794.95
Tesouro IPCA+;compra;2023-08-01;779.61
Tesouro IPCA+;atualizacao;2023-09-01;4587.91
Tesouro IPCA+;compra;2023-09-01;640.54
Tesouro IPCA+;atualizacao;2023-10-01;5241.26
Tesouro IPCA+;atualizacao;2023-11-01;5259.49
Tesouro IPCA+;venda;2023-11-01;1162.31
Tesouro IPCA+;atualizacao;2023-12-01;4116.77
Tesouro IPCA+;venda;2023-12-01;747.54
Tesouro IPCA+;atualizacao;2024-01-01;3377.26
Tesouro IPCA+;compra;2024-01-01;1376.69
Tesouro IPCA+;atualizacao;2024-02-01;4766.27
Tesouro IPCA+;atualizacao;2024-03-01;4786.52
Tesouro IPCA+;compra;2024-03-01;1287.82
Tesouro IPCA+;atualizacao;2024-04-01;6094.12
Tesouro IPCA+;atualizacao;2024-05-01;6106.9
Tesouro IPCA+;atualizacao;2024-06-01;6127.26
Tesouro IPCA+;compra;2024-06-01;945.43
Tesouro IPCA+;atualizacao;2024-07-01;7095.89
Tesouro IPCA+;atualizacao;2024-08-01;7112.0
Tesouro IPCA+;venda;2024-08-01;1124.02
Tesouro IPCA+;atualizacao;2024-09-01;6011.74
Tesouro IPCA+;atualizacao;2024-10-01;6037.48
Tesouro IPCA+;atualizacao;2024-11-01;6065.25
Tesouro IPCA+;atualizacao;2024-12-01;6082.31
Tesouro IPCA+;atualizacao;2025-01-01;6103.43
Tesouro IPCA+;atualizacao;2025-02-01;6124.44
Ações Petrobras;atualizacao;2023-02-01;5155.72
Ações Petrobras;atualizacao;2023-03-01;4925.31
Ações Petrobras;compra;2023-03-01;6474.42
Ações Petrobras;atualizacao;2023-04-01;11567.18
Ações Petrobras;compra;2023-04-01;5832.34
Ações Petrobras;venda;2023-04-01;4664.2
Ações Petrobras;atualizacao;2023-05-01;12463.25
Ações Petrobras;atualizacao;2023-06-01;12820.55
Ações Petrobras;venda;2023-06-01;4750.98
Ações Petrobras;atualizacao;2023-07-01;8100.35
Ações Petrobras;atualizacao;2023-08-01;8121.83
Ações Petrobras;atualizacao;2023-09-01;7893.78
Ações Petrobras;compra;2023-09-01;3703.8
Ações Petrobras;atualizacao;2023-10-01;12265.71
Ações Petrobras;atualizacao;2023-11-01;13080.79
Ações Petrobras;compra;2023-11-01;4217.59
Ações Petrobras;venda;2023-11-01;4629.58
Ações Petrobras;atualizacao;2023-12-01;13198.43
Ações Petrobras;compra;2023-12-01;7096.63
Ações Petrobras;atualizacao;2024-01-01;19498.1
Ações Petrobras;atualizacao;2024-02-01;18705.0
Ações Petrobras;venda;2024-02-01;3910.67
Ações Petrobras;atualizacao;2024-03-01;15119.01
Ações Petrobras;atualizacao;2024-04-01;14975.39
Ações Petrobras;atualizacao;2024-05-01;15065.05
Ações Petrobras;compra;2024-05-01;2872.52
Ações Petrobras;atualizacao;2024-06-01;18880.17
Ações Petrobras;atualizacao;2024-07-01;20060.21
Ações Petrobras;atualizacao;2024-08-01;20952.14
Ações Petrobras;atualizacao;2024-09-01;21826.38
Ações Petrobras;atualizacao;2024-10-01;21502.22
Ações Petrobras;atualizacao;2024-11-01;20865.61
Ações Petrobras;atualizacao;2024-12-01;21823.23
Ações Petrobras;atualizacao;2025-01-01;22525.03
Ações Petrobras;atualizacao;2025-02-01;23206.84
Ações Petrobras;compra;2025-02-01;3084.29
Criptomoeda Bitcoin;atualizacao;2023-02-01;31199.63
Criptomoeda Bitcoin;venda;2023-02-01;18798.64
Criptomoeda Bitcoin;atualizacao;2023-03-01;12013.32
Criptomoeda Bitcoin;atualizacao;2023-04-01;11945.51
Criptomoeda Bitcoin;atualizacao;2023-05-01;11623.05
Criptomoeda Bitcoin;atualizacao;2023-06-01;12112.79
Criptomoeda Bitcoin;atualizacao;2023-07-01;11623.43
Criptomoeda Bitcoin;atualizacao;2023-08-01;12238.12
Criptomoeda Bitcoin;compra;2023-08-01;19950.17
Criptomoeda Bitcoin;atualizacao;2023-09-01;31516.48
Criptomoeda Bitcoin;atualizacao;2023-10-01;32181.15
Criptomoeda Bitcoin;atualizacao;2023-11-01;31353.15
Criptomoeda Bitcoin;atualizacao;2023-12-01;32916.74
Criptomoeda Bitcoin;atualizacao;2024-01-01;33262.88
Criptomoeda Bitcoin;atualizacao;2024-02-01;34412.2
Criptomoeda Bitcoin;atualizacao;2024-03-01;33136.25
Criptomoeda Bitcoin;atualizacao;2024-04-01;33825.76
Criptomoeda Bitcoin;atualizacao;2024-05-01;32566.8
Criptomoeda Bitcoin;atualizacao;2024-06-01;34464.97
Criptomoeda Bitcoin;venda;2024-06-01;32416.47
Criptomoeda Bitcoin;atualizacao;2024-07-01;2004.15
Criptomoeda Bitcoin;compra;2024-07-01;38015.28
Criptomoeda Bitcoin;atualizacao;2024-08-01;38671.54
Criptomoeda Bitcoin;compra;2024-08-01;15578.0
Criptomoeda Bitcoin;venda;2024-08-01;18572.17
Criptomoeda Bitcoin;atualizacao;2024-09-01;37435.31
Criptomoeda Bitcoin;atualizacao;2024-10-01;38419.33
Criptomoeda Bitcoin;venda;2024-10-01;15467.59
Criptomoeda Bitcoin;atualizacao;2024-11-01;21990.26
Criptomoeda Bitcoin;compra;2024-11-01;40882.92
Criptomoeda Bitcoin;atualizacao;2024-12-01;61472.27
Criptomoeda Bitcoin;atualizacao;2025-01-01;63311.64
Criptomoeda Bitcoin;atualizacao;2025-02-01;61478.71
