Data Referência;Valor;Rentabilidade Absoluta;Rentabilidade Percentual
2023-01;30000.0;1199.63;4.0
2023-02;12400.99;-387.67;-3.13
2023-03;12013.32;-67.81;-0.56
2023-04;11945.51;-322.46;-2.7
2023-05;11623.05;489.74;4.21
2023-06;12112.79;-489.36;-4.04
2023-07;11623.43;614.69;5.29
2023-08;32188.29;-671.81;-2.09
2023-09;31516.48;664.67;2.11
2023-10;32181.15;-828.0;-2.57
2023-11;31353.15;1563.59;4.99
2023-12;32916.74;346.14;1.05
2024-01;33262.88;1149.32;3.46
2024-02;34412.2;-1275.95;-3.71
2024-03;33136.25;689.51;2.08
2024-04;33825.76;-1258.96;-3.72
2024-05;32566.8;1898.17;5.83
2024-06;2048.5;-44.35;-2.16
2024-07;40019.43;-1347.89;-3.37
2024-08;35677.37;1757.94;4.93
2024-09;37435.31;984.02;2.63
2024-10;22951.74;-961.48;-4.19
2024-11;62873.18;-1400.91;-2.23
2024-12;61472.27;1839.37;2.99
2025-01;63311.64;-1832.93;-2.9
2025-02;61478.71;0.0;0.0
