Data Referência;Valor;Rentabilidade Absoluta;Rentabilidade Percentual
2023-01;1000.0;3.57;0.36
2023-02;1555.61;7.16;0.46
2023-03;1562.77;4.72;0.3
2023-04;3049.11;6.24;0.2
2023-05;3055.35;14.32;0.47
2023-06;3069.67;7.51;0.24
2023-07;3780.06;14.89;0.39
2023-08;4574.56;13.35;0.29
2023-09;5228.45;12.81;0.25
2023-10;5241.26;18.23;0.35
2023-11;4097.18;19.59;0.48
2023-12;3369.23;8.03;0.24
2024-01;4753.95;12.32;0.26
2024-02;4766.27;20.25;0.42
2024-03;6074.34;19.78;0.33
2024-04;6094.12;12.78;0.21
2024-05;6106.9;20.36;0.33
2024-06;7072.69;23.2;0.33
2024-07;7095.89;16.11;0.23
2024-08;5987.98;23.76;0.4
2024-09;6011.74;25.74;0.43
2024-10;6037.48;27.77;0.46
2024-11;6065.25;17.06;0.28
2024-12;6082.31;21.12;0.35
2025-01;6103.43;21.01;0.34
2025-02;6124.44;0.0;0.0
